Título,Precio,Moneda,Expensas,Ubicación,Superficie,Estado,Ambientes,Baños,Antigüedad,Barrio,Precio_Pesos,Precio_m2,Cluster,Tipo_Propiedad
"Recoleta, Barrio Norte",480000.0,ARS,72000.0,"Avenida Córdoba 1800, Piso 8",35.0,Monoam.,,1.0,,Recoleta,480000.0,13714.285714285714,0,Compact and budget-friendly
"Belgrano, Capital Federal",590000.0,ARS,215000.0,Franklin Delano Roosevelt 3400,48.0,,1 dorm.,,20.0,Belgrano,590000.0,12291.666666666666,1,Exclusive premium
"Belgrano, Capital Federal",900000.0,ARS,114000.0,"Avenida Monroe 1500, Piso 5",54.0,,1 dorm.,,16.0,Belgrano,900000.0,16666.666666666668,2,Spacious and affordable
"Belgrano, Capital Federal",850000.0,ARS,100000.0,"MIGUELETES 2300, Piso 3",46.0,A Estrenar,1 dorm.,,,Belgrano,850000.0,18478.260869565216,2,Spacious and affordable
"Belgrano, Capital Federal",500000.0,ARS,290000.0,Ciudad de la Paz al 1900,37.0,,,1.0,15.0,Belgrano,500000.0,13513.513513513513,1,Exclusive premium
"Belgrano, Capital Federal",500000.0,ARS,90000.0,Ciudad de la Paz al 2700,23.0,,,1.0,7.0,Belgrano,500000.0,21739.130434782608,2,Spacious and affordable
"Palermo Soho, Palermo",550000.0,ARS,175000.0,"Jose Luis Borges 2200, Piso 2",31.0,,,1.0,15.0,Palermo,550000.0,17741.935483870966,2,Spacious and affordable
"Parque Rivadavia, Caballito",700000.0,ARS,206000.0,"Formosa 400, Piso 5",63.0,,2 dorm.,,30.0,Caballito,700000.0,11111.111111111111,1,Exclusive premium
"Caballito Sur, Caballito",580000.0,ARS,87000.0,Av. Juan B. Alberdi al 200,38.0,,1 dorm.,,40.0,Caballito,580000.0,15263.157894736842,0,Compact and budget-friendly
"Palermo, Capital Federal",650000.0,ARS,250000.0,Av. Cabildo 100,52.0,,1 dorm.,1.0,,Palermo,650000.0,12500.0,1,Exclusive premium
"Recoleta, Barrio Norte",280000.0,ARS,140000.0,Rodriguez Peña al 1000,22.0,,1 dorm.,,5.0,Recoleta,280000.0,12727.272727272728,0,Compact and budget-friendly
"Recoleta, Barrio Norte",500000.0,ARS,85000.0,"French 2700, Piso 7",35.0,,1 dorm.,,60.0,Recoleta,500000.0,14285.714285714286,0,Compact and budget-friendly
"Recoleta, Barrio Norte",450.0,USD,105000.0,"Guido 1900, Piso 7",24.0,,,1.0,60.0,Recoleta,513900.0,21412.5,2,Spacious and affordable
"Palermo Soho, Palermo",495000.0,ARS,100000.0,Gurruchaga al 2000,30.0,,1 dorm.,,35.0,Palermo,495000.0,16500.0,0,Compact and budget-friendly
"Recoleta, Barrio Norte",700000.0,ARS,100000.0,Av Pueyrredon al 2400,31.0,,1 dorm.,,30.0,Recoleta,700000.0,22580.645161290322,2,Spacious and affordable
"Palermo, Capital Federal",900000.0,ARS,190000.0,"Paraguay 3900, Piso 4",75.0,,2 dorm.,,50.0,Palermo,900000.0,12000.0,1,Exclusive premium
"Palermo, Capital Federal",700000.0,ARS,205000.0,Juncal 4500,45.0,,1 dorm.,,20.0,Palermo,700000.0,15555.555555555555,2,Spacious and affordable
"Parque Centenario, Capital Federal",850000.0,ARS,200000.0,"RAMOS MEJIA 900, Piso 7",64.0,,2 dorm.,,10.0,Parque Centenario,850000.0,13281.25,1,Exclusive premium
"Parque Centenario, Capital Federal",470000.0,ARS,80000.0,Franklin 100,32.0,,,1.0,40.0,Parque Centenario,470000.0,14687.5,0,Compact and budget-friendly
"Recoleta, Barrio Norte",650000.0,ARS,200000.0,"Dr T De Anchorena 1100, Piso 1",43.0,,1 dorm.,,10.0,Recoleta,650000.0,15116.279069767443,2,Spacious and affordable
"Palermo Hollywood, Palermo",690.0,USD,100000.0,"Angel Carranza 2300, Piso 2",52.0,,2 dorm.,,40.0,Palermo,787980.0,15153.461538461539,2,Spacious and affordable
"Palermo Chico, Palermo",900.0,USD,200000.0,"Juan Francisco Seguí 3900, Piso 4",47.0,A Estrenar,,1.0,,Palermo,1027800.0,21868.08510638298,2,Spacious and affordable
"Botanico, Palermo",500000.0,ARS,100000.0,"Ugarteche 2800, Piso 6",33.0,,,1.0,70.0,Palermo,500000.0,15151.515151515152,0,Compact and budget-friendly
"Retiro, Centro",650000.0,ARS,125000.0,"Av. Cordoba 400, Piso 7",60.0,,1 dorm.,1.0,,Retiro,650000.0,10833.333333333334,1,Exclusive premium
"Flores, Capital Federal",890000.0,ARS,200000.0,"Avenida Rivadavia 6300, Piso 14",80.0,,3 dorm.,,50.0,Flores,890000.0,11125.0,1,Exclusive premium
"Palermo Viejo, Palermo",750.0,USD,150000.0,"Vidt 2100, Piso 2",60.0,A Estrenar,2 dorm.,,,Palermo,856500.0,14275.0,1,Exclusive premium
"Palermo, Capital Federal",680000.0,ARS,155000.0,Godoy Cruz al 2900,54.0,A Estrenar,2 dorm.,,,Palermo,680000.0,12592.592592592593,1,Exclusive premium
"Plaza San Martín, Barrio Norte",950000.0,ARS,278000.0,"Esmeralda 1300, Piso 16",90.0,,3 dorm.,,60.0,Barrio Norte,950000.0,10555.555555555555,1,Exclusive premium
"Barrio Norte, Capital Federal",1100000.0,ARS,398000.0,JOSE EVARISTO URIBURU Y AV. SANTA FE 1°,141.0,,3 dorm.,,40.0,Barrio Norte,1100000.0,7801.418439716312,1,Exclusive premium
"Recoleta, Barrio Norte",650000.0,ARS,63000.0,"Avenida Pueyrredón 1000, Piso PB",44.0,,1 dorm.,1.0,,Recoleta,650000.0,14772.727272727272,0,Compact and budget-friendly
"Villa Urquiza, Capital Federal",500.0,USD,120000.0,Avenida Olazábal 4800,45.0,,1 dorm.,,10.0,Villa Urquiza,571000.0,12688.888888888889,0,Compact and budget-friendly
"Villa Urquiza, Capital Federal",590000.0,ARS,215000.0,Franklin Delano Roosevelt 3400,48.0,,1 dorm.,,20.0,Villa Urquiza,590000.0,12291.666666666666,1,Exclusive premium
"Villa Urquiza, Capital Federal",700000.0,ARS,138000.0,"Tomas Le Breton 5000, Piso 7",43.0,,1 dorm.,,20.0,Villa Urquiza,700000.0,16279.06976744186,2,Spacious and affordable
"Palermo, Capital Federal",1000000.0,ARS,134000.0,"Av. Santa Fe 3300, Piso 4",80.0,,2 dorm.,,45.0,Palermo,1000000.0,12500.0,1,Exclusive premium
"Barrio Norte, Capital Federal",880000.0,ARS,195000.0,"Av. Santa Fe 1900, Piso 3",57.0,,,1.0,20.0,Barrio Norte,880000.0,15438.59649122807,2,Spacious and affordable
"Palermo Soho, Palermo",740000.0,ARS,175600.0,"Paraguay 4400, Piso 3",40.0,,1 dorm.,,17.0,Palermo,740000.0,18500.0,2,Spacious and affordable
"Palermo Hollywood, Palermo",950.0,USD,114000.0,"Av Santa Fe 4800, Piso Alt",64.0,,2 dorm.,,15.0,Palermo,1084900.0,16951.5625,2,Spacious and affordable
"Recoleta, Barrio Norte",1000.0,USD,200000.0,"Larrea 800, Piso PB",72.0,,3 dorm.,,50.0,Recoleta,1142000.0,15861.111111111111,2,Spacious and affordable
"Caballito Sur, Caballito",410000.0,ARS,64700.0,"Mendez De Andes 1900, Piso 5",37.0,,,1.0,2.0,Caballito,410000.0,11081.081081081082,0,Compact and budget-friendly
"Caballito, Capital Federal",900000.0,ARS,150000.0,Riglos al 400,67.0,,3 dorm.,,50.0,Caballito,900000.0,13432.835820895523,1,Exclusive premium
"Palermo, Capital Federal",500000.0,ARS,100000.0,Mario Bravo 1100,30.0,,1 dorm.,,20.0,Palermo,500000.0,16666.666666666668,0,Compact and budget-friendly
"Belgrano, Capital Federal",700000.0,ARS,130000.0,"Mariscal Antonio José de Sucre 2700, Piso 14",48.0,,2 dorm.,,45.0,Belgrano,700000.0,14583.333333333334,2,Spacious and affordable
"Belgrano, Capital Federal",2800000.0,ARS,700000.0,"Arcos 1600, Piso 7",140.0,,3 dorm.,,40.0,Belgrano,2800000.0,20000.0,3,High price per m²
"Villa Urquiza, Capital Federal",470000.0,ARS,105000.0,"AVENIDA MONROE 5600, Piso 4",36.0,,1 dorm.,,4.0,Villa Urquiza,470000.0,13055.555555555555,0,Compact and budget-friendly
"Botanico, Palermo",1250000.0,ARS,160000.0,"Charcas 4300, Piso 4",76.0,,2 dorm.,,,Palermo,1250000.0,16447.36842105263,2,Spacious and affordable
"Botanico, Palermo",750000.0,ARS,260000.0,Av raul scalabrini ortiz 3000,42.0,,,1.0,10.0,Palermo,750000.0,17857.14285714286,2,Spacious and affordable
"Palermo, Capital Federal",700000.0,ARS,230000.0,"Avenida Coronel Díaz 2100, Piso 1",52.0,,2 dorm.,,,Palermo,700000.0,13461.538461538461,1,Exclusive premium
"Barrio Norte, Capital Federal",1000.0,USD,354000.0,"AUSTRIA 2500, Piso 12",53.0,,1 dorm.,,15.0,Barrio Norte,1142000.0,21547.169811320753,3,High price per m²
"Nuñez, Capital Federal",700000.0,ARS,132000.0,"J De Amenabar 3200, Piso 5",47.0,,1 dorm.,,15.0,Nuñez,700000.0,14893.617021276596,2,Spacious and affordable
"Palermo, Capital Federal",500000.0,ARS,160000.0,"Jorge Luis Borges 2200, Piso 3",32.0,Monoam.,,1.0,,Palermo,500000.0,15625.0,2,Spacious and affordable
"Nuñez, Capital Federal",600000.0,ARS,160000.0,NUÑEZ al 3400,45.0,,1 dorm.,,15.0,Nuñez,600000.0,13333.333333333334,1,Exclusive premium
"Belgrano C, Belgrano",1300000.0,ARS,300000.0,"VIDAL 2500, Piso 1",80.0,,3 dorm.,,15.0,Belgrano,1300000.0,16250.0,3,High price per m²
"Nuñez, Capital Federal",2300000.0,ARS,233000.0,"Av. Cabildo al 3400, Entre Juana Azurduy y Manuela Pedraza",165.0,A Estrenar,3 dorm.,,,Nuñez,2300000.0,13939.39393939394,3,High price per m²
"Belgrano, Capital Federal",450000.0,ARS,105000.0,Virrey Loreto 2400,32.0,,1 dorm.,1.0,,Belgrano,450000.0,14062.5,0,Compact and budget-friendly
"Barrio Norte, Capital Federal",900000.0,ARS,202270.0,PARAGUAY Y AV. PUEYRREDON 7°,129.0,,3 dorm.,,40.0,Barrio Norte,900000.0,6976.7441860465115,1,Exclusive premium
"Palermo, Capital Federal",515000.0,ARS,55000.0,"Billinghurst 1300, Piso 6",34.0,,,1.0,38.0,Palermo,515000.0,15147.058823529413,0,Compact and budget-friendly
"Belgrano, Capital Federal",490000.0,ARS,144600.0,"Zabala 2400, Piso 1",38.0,,1 dorm.,,50.0,Belgrano,490000.0,12894.736842105263,0,Compact and budget-friendly
"Monserrat, Centro",600.0,USD,140000.0,"Virrey Cevallos 300, Piso 1",29.0,,,1.0,3.0,Monserrat,685200.0,23627.58620689655,2,Spacious and affordable
"Monserrat, Centro",380000.0,ARS,220000.0,"México 1200, Piso 1",35.0,Monoam.,,1.0,,Monserrat,380000.0,10857.142857142857,1,Exclusive premium
"Palermo, Capital Federal",800000.0,ARS,223000.0,Gorriti al 3600,50.0,,1 dorm.,,11.0,Palermo,800000.0,16000.0,2,Spacious and affordable
"Retiro, Centro",500000.0,ARS,126000.0,Esmeralda al 900,35.0,,1 dorm.,,50.0,Retiro,500000.0,14285.714285714286,0,Compact and budget-friendly
"Belgrano R, Belgrano",980000.0,ARS,320000.0,"Ciudad De La Paz 1900, Piso 3",75.0,,2 dorm.,,30.0,Belgrano,980000.0,13066.666666666666,1,Exclusive premium
"Recoleta, Barrio Norte",750000.0,ARS,150000.0,Paraguay 1600,36.0,,1 dorm.,1.0,,Recoleta,750000.0,20833.333333333332,2,Spacious and affordable
"Urquiza R, Villa Urquiza",700000.0,ARS,147000.0,"Nahuel Huapi 4900, Piso 1",50.0,,1 dorm.,,13.0,Villa Urquiza,700000.0,14000.0,1,Exclusive premium
"Microcentro, Centro",400000.0,ARS,140000.0,Florida 800,30.0,,1 dorm.,1.0,,Microcentro,400000.0,13333.333333333334,0,Compact and budget-friendly
"Belgrano, Capital Federal",1050000.0,ARS,260000.0,"Maure 2300, Piso 4",85.0,,3 dorm.,,50.0,Belgrano,1050000.0,12352.941176470587,1,Exclusive premium
"Barrio Norte, Capital Federal",870000.0,ARS,111780.0,ECUADOR Y AV. CORDOBA 4°,57.0,,2 dorm.,,40.0,Barrio Norte,870000.0,15263.157894736842,2,Spacious and affordable
"Barrio Norte, Capital Federal",500000.0,ARS,80000.0,JEAN JAURES AL 800 8°,58.0,,1 dorm.,,40.0,Barrio Norte,500000.0,8620.689655172413,0,Compact and budget-friendly
"Las Cañitas, Palermo",800000.0,ARS,230000.0,"Huergo 200, Piso 6",47.0,,1 dorm.,,10.0,Palermo,800000.0,17021.27659574468,2,Spacious and affordable
"Nuñez, Capital Federal",710000.0,ARS,260000.0,"Ciudad de la Paz 3200, Piso 3",45.0,,1 dorm.,,25.0,Nuñez,710000.0,15777.777777777777,2,Spacious and affordable
"Recoleta, Barrio Norte",550000.0,ARS,147000.0,GALLO 900,42.0,,1 dorm.,,22.0,Recoleta,550000.0,13095.238095238095,1,Exclusive premium
"Caballito, Capital Federal",850000.0,ARS,200000.0,"Yatay 200, Piso 4",60.0,,2 dorm.,,10.0,Caballito,850000.0,14166.666666666666,1,Exclusive premium
"Botanico, Palermo",800000.0,ARS,130000.0,"Borges 2100, Piso 1",53.0,,1 dorm.,,10.0,Palermo,800000.0,15094.33962264151,2,Spacious and affordable
"Nuñez, Capital Federal",720000.0,ARS,150000.0,"Cuba 3400, Piso 3",60.0,,2 dorm.,,40.0,Nuñez,720000.0,12000.0,1,Exclusive premium
"Palermo Hollywood, Palermo",850000.0,ARS,140000.0,"Arévalo 2000, Piso 5",43.0,A Estrenar,1 dorm.,,,Palermo,850000.0,19767.441860465115,2,Spacious and affordable
"Barrio Norte, Capital Federal",1500000.0,ARS,430000.0,"Av Santa Fe 2900, Piso 5",135.0,,3 dorm.,3.0,,Barrio Norte,1500000.0,11111.111111111111,1,Exclusive premium
"Flores, Capital Federal",800000.0,ARS,150000.0,"Curapaligüe 100, Piso 2",65.0,,2 dorm.,,35.0,Flores,800000.0,12307.692307692309,1,Exclusive premium
"Chacarita, Capital Federal",730000.0,ARS,260000.0,"Charlone 500, Piso 2",45.0,,1 dorm.,1.0,,Chacarita,730000.0,16222.222222222223,2,Spacious and affordable
"Barrio Norte, Capital Federal",450000.0,ARS,158000.0,"Jerónimo Salguero 1800, Piso 5",40.0,,1 dorm.,,45.0,Barrio Norte,450000.0,11250.0,0,Compact and budget-friendly
"Barrio Norte, Capital Federal",500000.0,ARS,90000.0,AV. SANTA FE al 1900 6°,40.0,,1 dorm.,,40.0,Barrio Norte,500000.0,12500.0,0,Compact and budget-friendly
"Recoleta, Barrio Norte",750000.0,ARS,220000.0,Gallo 1100,45.0,,1 dorm.,,13.0,Recoleta,750000.0,16666.666666666668,2,Spacious and affordable
"Barrio Norte, Capital Federal",450000.0,ARS,85000.0,Riobamba al 900,35.0,,,1.0,10.0,Barrio Norte,450000.0,12857.142857142857,0,Compact and budget-friendly
"Villa Urquiza, Capital Federal",500000.0,ARS,75000.0,"Donado 1900, Piso 2",42.0,,1 dorm.,1.0,,Villa Urquiza,500000.0,11904.761904761905,0,Compact and budget-friendly
"Belgrano C, Belgrano",850000.0,ARS,310000.0,"Virrey loreto 2500, Piso 6",64.0,,2 dorm.,,70.0,Belgrano,850000.0,13281.25,1,Exclusive premium
"Palermo Hollywood, Palermo",680000.0,ARS,135000.0,"Avenida Álvarez Thomas 100, Piso 5",56.0,,,1.0,7.0,Palermo,680000.0,12142.857142857143,1,Exclusive premium
"Palermo, Capital Federal",750000.0,ARS,120000.0,Billinghurst 900,45.0,,1 dorm.,,50.0,Palermo,750000.0,16666.666666666668,2,Spacious and affordable
"Palermo, Capital Federal",500000.0,ARS,81000.0,MAURE al 2200,30.0,,1 dorm.,,37.0,Palermo,500000.0,16666.666666666668,0,Compact and budget-friendly
"Palermo, Capital Federal",850000.0,ARS,230000.0,"Aguero 1400, Piso 4",48.0,,1 dorm.,,2.0,Palermo,850000.0,17708.333333333332,2,Spacious and affordable
"Las Cañitas, Palermo",850000.0,ARS,240000.0,Jorge Newbery 1900,50.0,,1 dorm.,,15.0,Palermo,850000.0,17000.0,2,Spacious and affordable
"Barrio Norte, Capital Federal",2000.0,USD,150000.0,JUNCAL 3100,90.0,,2 dorm.,,35.0,Barrio Norte,2284000.0,25377.777777777777,3,High price per m²
"Barrio Norte, Capital Federal",520000.0,ARS,86000.0,"Julián Álvarez 2400, Piso 8",50.0,,1 dorm.,,40.0,Barrio Norte,520000.0,10400.0,0,Compact and budget-friendly
"Parque Rivadavia, Caballito",550000.0,ARS,65000.0,"Guayaquil 100, Piso 5",40.0,,1 dorm.,,50.0,Caballito,550000.0,13750.0,0,Compact and budget-friendly
"Urquiza R, Villa Urquiza",470000.0,ARS,180000.0,"Avenida Monroe 5300, Piso 6",33.0,,1 dorm.,,12.0,Villa Urquiza,470000.0,14242.424242424242,0,Compact and budget-friendly
"Saavedra, Capital Federal",800000.0,ARS,110000.0,Correa 3000,106.0,,2 dorm.,,30.0,Saavedra,800000.0,7547.169811320755,1,Exclusive premium
"Villa Crespo, Capital Federal",1100000.0,ARS,360000.0,"Warnes 200, Piso 9/10",121.0,,3 dorm.,,30.0,Villa Crespo,1100000.0,9090.90909090909,1,Exclusive premium
"Barrio Norte, Capital Federal",850000.0,ARS,150000.0,AV. PUEYRREDON al 900 5°,77.0,,2 dorm.,,40.0,Barrio Norte,850000.0,11038.961038961039,1,Exclusive premium
"Villa Crespo, Capital Federal",700000.0,ARS,150000.0,"SERRANO 200, Piso 1",38.0,,1 dorm.,,25.0,Villa Crespo,700000.0,18421.052631578947,2,Spacious and affordable
"Belgrano, Capital Federal",950000.0,ARS,140000.0,"Juramento 2700, Piso 12",54.0,,2 dorm.,,30.0,Belgrano,950000.0,17592.59259259259,2,Spacious and affordable
"Barrio Norte, Capital Federal",450000.0,ARS,227000.0,VIAMONTE Y AV. CALLAO 4°,33.0,,,1.0,10.0,Barrio Norte,450000.0,13636.363636363636,1,Exclusive premium
"Barrio Norte, Capital Federal",290000.0,ARS,110700.0,MARCELO T. DE ALVEAR al 1900 4°,25.0,,,1.0,40.0,Barrio Norte,290000.0,11600.0,0,Compact and budget-friendly
"Barrio Norte, Capital Federal",400000.0,ARS,188700.0,SUIPACHA Y AV. CORDOBA 12°,42.0,,1 dorm.,,40.0,Barrio Norte,400000.0,9523.809523809523,1,Exclusive premium
"Barrio Norte, Capital Federal",500000.0,ARS,170000.0,AV. SANTA FE al 2000 1°,50.0,,1 dorm.,,40.0,Barrio Norte,500000.0,10000.0,1,Exclusive premium
"Belgrano, Capital Federal",390000.0,ARS,120000.0,Amenabar 1200,25.0,Monoam.,,1.0,,Belgrano,390000.0,15600.0,0,Compact and budget-friendly
"Palermo, Capital Federal",500000.0,ARS,80000.0,ARAÓZ 2300,33.0,Monoam.,,1.0,,Palermo,500000.0,15151.515151515152,0,Compact and budget-friendly
"Caballito Sur, Caballito",1100000.0,ARS,208000.0,"Muñiz 500, Piso 8",65.0,A Estrenar,2 dorm.,,,Caballito,1100000.0,16923.076923076922,2,Spacious and affordable
"Almagro, Capital Federal",590000.0,ARS,200000.0,"Domingo F Sarmiento 3000, Piso 3",55.0,,2 dorm.,,49.0,Almagro,590000.0,10727.272727272728,1,Exclusive premium
"Almagro, Capital Federal",550000.0,ARS,80000.0,Sanchez de Bustamante y Avenida Rivadavia,41.0,,1 dorm.,,35.0,Almagro,550000.0,13414.634146341463,0,Compact and budget-friendly
"Palermo Hollywood, Palermo",1100000.0,ARS,100000.0,"El Salvador 6000, Piso 8",52.0,A Estrenar,1 dorm.,,,Palermo,1100000.0,21153.846153846152,2,Spacious and affordable
"Palermo Hollywood, Palermo",1800000.0,ARS,150000.0,"El Salvador 6000, Piso 3",65.0,A Estrenar,2 dorm.,,,Palermo,1800000.0,27692.30769230769,3,High price per m²
"Belgrano Chico, Belgrano",570000.0,ARS,160000.0,Echeverria 1300,45.0,,1 dorm.,1.0,,Belgrano,570000.0,12666.666666666666,1,Exclusive premium
"Monserrat, Centro",400000.0,ARS,122000.0,"Solís 200, Piso 7",29.0,,,1.0,40.0,Monserrat,400000.0,13793.103448275862,0,Compact and budget-friendly
"Palermo Soho, Palermo",700.0,USD,85000.0,Malabia 1900,45.0,,1 dorm.,,30.0,Palermo,799400.0,17764.444444444445,2,Spacious and affordable
"Colegiales, Capital Federal",650000.0,ARS,270000.0,Olleros 4100,42.0,,1 dorm.,,5.0,Colegiales,650000.0,15476.190476190477,2,Spacious and affordable
"Belgrano, Capital Federal",490000.0,ARS,175000.0,"Amenábar 1100, Piso 4",36.0,,,1.0,6.0,Belgrano,490000.0,13611.111111111111,1,Exclusive premium
"Colegiales, Capital Federal",750000.0,ARS,147000.0,Federico Lacroze al 3200,36.0,,1 dorm.,,5.0,Colegiales,750000.0,20833.333333333332,2,Spacious and affordable
"Villa Urquiza, Capital Federal",560000.0,ARS,160000.0,"Bucarelli 1900, Piso 5",41.0,Muy Bueno,,,11.0,Villa Urquiza,560000.0,13658.536585365853,1,Exclusive premium
"Caballito Sur, Caballito",420000.0,ARS,70000.0,"Avenida La Plata 500, Piso 5",25.0,Monoam.,,1.0,,Caballito,420000.0,16800.0,0,Compact and budget-friendly
"Almagro Norte, Almagro",600000.0,ARS,86000.0,"Palestina (Ex Rawson) 700, Piso 6",38.0,,1 dorm.,1.0,,Almagro,600000.0,15789.473684210527,0,Compact and budget-friendly
